date,STI_yoy,discretionary_share_yoy,disposable_income_yoy,cpi_yoy,unemployment_rate_yoy
2018-04-01,-0.19356510169422503,0.015027031279601033,20944.0,0.6,-0.2999999999999998
2018-05-01,-0.20409495791619503,-0.2883808591669208,16326.0,0.7,-0.7999999999999998
2018-06-01,-0.21882000637331522,-0.4421638052920862,60969.0,0.7,-0.3900000000000001
2018-07-01,-0.14511101281952588,-1.1237359193970171,4448.0,0.9,-0.30000000000000027
2018-08-01,-0.1619755330283157,-0.9968809268963348,21502.0,1.3,-0.2999999999999998
2018-09-01,-0.09879639569649701,0.11759031450906576,6920.0,1.2,-0.4500000000000002
2018-10-01,0.050677311894559374,0.28490695789793463,12885.0,1.4,-0.33000000000000007
2018-11-01,0.09699192901758802,-0.590736343620943,9989.0,0.8,-0.20000000000000018
2018-12-01,0.1306372181669766,0.4304412518597083,66850.0,0.3,-0.25
2019-01-01,0.25066082884379415,0.1376651203008663,23645.0,0.2,0.08999999999999986
2019-02-01,0.23593578038667506,0.5182467758960208,15935.0,0.2,-0.16999999999999993
2019-03-01,0.35176419882834176,0.22781844217222869,19192.0,0.5,0.0
2019-04-01,0.2991149177184931,0.5304022386640774,25461.0,0.9,-0.08000000000000007
2019-05-01,0.4338635768524295,0.9241220355967137,13521.0,0.7,0.05999999999999961
2019-06-01,0.5622775719995468,1.4252969950268835,54234.0,0.7,-0.1200000000000001
2019-07-01,0.6443769500236339,-0.11175868275607215,16196.0,0.5,-0.25
2019-08-01,0.6759665186895434,1.2582951511232459,9168.0,0.3,-0.20000000000000018
2019-09-01,0.894954027599238,2.3255378925142303,4743.0,0.2,0.07000000000000028
2019-10-01,0.7749304169224208,-0.6009750260317439,17898.0,0.2,-0.020000000000000018
2019-11-01,0.5095445396215074,0.9190633137648874,18653.0,0.5,-0.25
2019-12-01,0.467425114733629,0.44323434460219957,39596.0,0.8,-0.21999999999999975
2020-01-01,0.4799269401708881,0.24405146424657076,11816.0,0.7,-0.1200000000000001
2020-02-01,0.6062014635663344,-0.12328890885455834,14130.0,0.4,0.040000000000000036
2020-03-01,1.328482599378908,-4.145660543923423,5360.0,0.4,0.019999999999999574
2020-04-01,2.45081452035814,-7.783781307665883,-2305.0,0.1,0.20000000000000018
2020-05-01,2.244245085617516,-5.706357126667427,45278.0,0.1,0.45999999999999996
2020-06-01,1.8166324214837153,-2.737923785577067,134651.0,0.1,0.4700000000000002
2020-07-01,1.660740298637649,-2.3251636586485667,60151.0,0.3,0.6100000000000003
2020-08-01,1.6417363066771897,-3.604231012484039,4476.0,0.2,0.7200000000000002
2020-09-01,1.1363032080226416,-4.477506207792203,10797.0,0.0,0.5899999999999999
2020-10-01,1.1363032080226416,0.24874958809319025,9358.0,-0.4,0.7599999999999998
2020-11-01,1.3027251870906777,-2.851366539531881,-5942.0,-0.9,0.6900000000000004
2020-12-01,1.494402070837803,-2.7142360237328376,-23846.0,-1.2,0.8199999999999998
2021-01-01,1.5724737591631213,-3.831945504021867,-11880.0,-0.7,0.5900000000000003
2021-02-01,0.9934154182229757,-2.687468519524785,-4757.0,-0.5,0.5100000000000002
2021-03-01,-0.10580106982883847,0.6720988742904339,-4569.0,-0.4,0.18000000000000016
2021-04-01,-1.1123045723664038,3.834820957650088,11382.0,-1.1,0.2599999999999998
2021-05-01,-0.935185234540018,1.318597572334074,-15379.0,-0.8,0.14000000000000012
2021-06-01,-0.9624121084343967,-0.6286101654835932,-119127.0,-0.5,0.1299999999999999
2021-07-01,-0.9307387885002973,0.5993871264988435,-23144.0,-0.3,-0.1200000000000001
2021-08-01,-0.9012049403178681,-0.3180027317548024,16279.0,-0.4,-0.20000000000000018
2021-09-01,-0.709528056570742,-1.650123464824631,8958.0,0.2,-0.23999999999999977
2021-10-01,-0.7832370501245307,-0.8732924186505002,2868.0,0.1,-0.43999999999999995
2021-11-01,-0.7832370501245307,0.6437258592475992,9816.0,0.6,-0.15000000000000036
2021-12-01,-0.9095953247881676,0.39498185261918195,58065.0,0.8,-0.31999999999999984
2022-01-01,-0.8885356123442285,0.26935508141624,12157.0,0.5,-0.17000000000000037
2022-02-01,-0.338843617050132,-0.44693481376638644,5545.0,0.9,-0.2200000000000002
2022-03-01,0.198179050270326,-0.04432460061769561,19518.0,1.2,-0.1299999999999999
2022-04-01,0.10974500825941788,1.1074582990368675,-2929.0,2.5,-0.31000000000000005
2022-05-01,-0.09451745219315766,2.2520897754064073,-8355.0,2.5,-0.31000000000000005
2022-06-01,0.35193170136472185,1.3040362438518187,11351.0,2.4,-0.29000000000000004
2022-07-01,0.5688634897909366,0.49356570883574946,-11186.0,2.6,-0.2400000000000002
2022-08-01,0.2551072748835145,1.414997709617687,5215.0,3.0,-0.25
2022-09-01,0.4509793508657891,2.356434630874581,14047.0,3.0,-0.11000000000000032
2022-10-01,0.6194570504173053,1.3235326320320873,11157.0,3.7,-0.10000000000000009
2022-11-01,0.720560420401853,0.2516243380802514,14162.0,3.8,-0.2799999999999998
2022-12-01,0.5668077693074565,0.7132285851243658,28104.0,4.0,-0.2100000000000004
2023-01-01,0.34354131689442235,2.0145395352215623,8826.0,4.3,-0.3099999999999996
2023-02-01,0.26555337983729405,2.154925948228886,12994.0,3.3,-0.10999999999999988
2023-03-01,-0.2799434232216538,2.5964242587990363,-5636.0,3.2,0.16000000000000014
2023-04-01,-0.42316621809407967,2.0758553158835547,15438.0,3.5,0.020000000000000018
2023-05-01,-0.40424597740181034,1.6260182031024009,-13984.0,3.2,-0.04999999999999982
2023-06-01,-0.5432735800390869,-0.056280190999238755,-10520.0,3.3,-0.10000000000000009
2023-07-01,-0.7412851277730321,2.159797194850089,-14274.0,3.3,0.07000000000000028
2023-08-01,-0.40646920042167023,1.9318580902372169,-8496.0,3.2,0.1200000000000001
2023-09-01,-0.42966838461727974,0.26042186570158066,-5237.0,3.0,-0.06000000000000005
2023-10-01,-0.48865232971394795,0.005982960529216541,-6355.0,3.3,-0.040000000000000036
2023-11-01,-0.5455805543271375,2.3329592084999184,-4272.0,2.8,0.040000000000000036
2023-12-01,-0.5245208418831977,0.5564931360425227,-43432.0,2.6,-0.029999999999999805
2024-01-01,-0.5876999792150159,1.1724330305217556,3126.0,2.2,0.0
2024-02-01,-0.7077235898918335,1.2658507810582336,1806.0,2.8,0.009999999999999787
2024-03-01,-0.5371064185886469,0.6968551525824793,12387.0,2.7,-0.14000000000000012
2024-04-01,-0.2486051083603144,-0.27026736063062984,723.0,2.5,0.040000000000000036
2024-05-01,0.060955914311958626,-0.7417575119775606,30557.0,2.8,0.06000000000000005
2024-06-01,0.07148577053392782,2.127608573255678,88066.0,2.8,0.020000000000000018
2024-07-01,0.08415509850756805,0.23800496769273138,55122.0,2.8,0.04999999999999982
2024-08-01,0.03570100963286907,0.26169591610786114,32751.0,3.0,-0.16999999999999993
2024-09-01,-0.08432260104394804,1.122154087898025,3851.0,2.5,-0.1299999999999999
2024-10-01,0.027310625162568852,-0.4122301063156577,21155.0,2.3,-0.07999999999999963
2024-11-01,0.029450096914239277,-1.1408497806042952,18638.0,2.9,-0.08999999999999986
2024-12-01,0.14527851535590663,-0.7192405381822695,66633.0,3.6,-0.040000000000000036
2025-01-01,0.3095610226722723,-1.1193344634744342,11922.0,4.0,-0.010000000000000231
2025-02-01,0.44011448957106003,-0.9507173589725006,8633.0,3.7,-0.17999999999999972
2025-03-01,0.5833372844434859,-0.41292111837491063,6606.0,3.6,-0.10000000000000009
2025-04-01,0.7370899355378827,0.4225901749730774,22509.0,3.6,-0.08999999999999986
2025-05-01,0.4148595848919705,0.599555579470266,25228.0,3.5,-0.1499999999999999
2025-06-01,0.261106933797574,-0.7756509010685342,-37328.0,3.3,-0.07999999999999963
2025-07-01,0.38113054447439043,-0.9926583899248129,-8486.0,3.1,-0.29000000000000004
2025-08-01,0.2589674620459036,0.968262300401328,24509.0,2.7,0.08999999999999986
2025-09-01,0.25263279805908423,-0.041792061255375046,11356.0,2.9,0.1299999999999999
2025-10-01,0.13466490786574717,0.6261300432550598,14570.0,3.0,0.1599999999999997
2025-11-01,-0.03381279168576898,0.2210765442099607,3166.0,2.9,0.08999999999999986
2025-12-01,-0.048537840142889366,0.7658213060688617,35383.0,2.1,0.18000000000000016
