date,job_scarcity,consumer_anxiety,job_scarcity_z,consumer_anxiety_z,STI
2011-07-01,-0.64,-34.6,1.0866330630664172,0.7636170733278447,0.9251250681971309
2011-08-01,-0.65,-34.7,1.0571829661521779,0.7425573608839049,0.8998701635180414
2011-09-01,-0.67,-35.9,0.9982827723236993,0.48984081155663184,0.7440617919401655
2011-10-01,-0.69,-36.4,0.9393825784952211,0.3845422493369343,0.6619624139160777
2011-11-01,-0.71,-36.3,0.8804823846667427,0.40560196178087415,0.6430421732238084
2011-12-01,-0.72,-36.8,0.8510322877525034,0.30030339956117663,0.57566784365684
2012-01-01,-0.74,-37.5,0.7921320939240248,0.15288541245359957,0.4725087531888122
2012-02-01,-0.75,-37.4,0.7626819970097856,0.17394512489753938,0.4683135609536625
2012-03-01,-0.77,-37.6,0.703781803181307,0.1318257000096598,0.4178037515954834
2012-04-01,-0.78,-37.4,0.6743317062670677,0.17394512489753938,0.4241384155823036
2012-05-01,-0.79,-37.8,0.6448816093528285,0.08970627512178168,0.36729394223730505
2012-06-01,-0.8,-37.6,0.6154315124385892,0.1318257000096598,0.37362860622412447
2012-07-01,-0.81,-37.4,0.5859814155243499,0.17394512489753938,0.37996327021094467
2012-08-01,-0.82,-37.9,0.556531318610111,0.06864656267784189,0.3125889406439764
2012-09-01,-0.81,-37.8,0.5859814155243499,0.08970627512178168,0.3378438453230658
2012-10-01,-0.82,-37.6,0.556531318610111,0.1318257000096598,0.34417850930988536
2012-11-01,-0.82,-37.7,0.556531318610111,0.11076598756571998,0.33364865308791547
2012-12-01,-0.83,-37.5,0.5270812216958717,0.15288541245359957,0.3399833170747356
2013-01-01,-0.84,-40.6,0.4976311247816324,-0.4999656733085251,-0.001167274263446344
2013-02-01,-0.85,-41.5,0.46818102786739313,-0.6895030853039803,-0.11066102871829359
2013-03-01,-0.87,-42.1,0.4092808340389146,-0.8158613599676175,-0.2032902629643515
2013-04-01,-0.88,-44.8,0.3798307371246753,-1.3844735959539831,-0.5023214294146539
2013-05-01,-0.9,-45.2,0.32093054329619675,-1.4687124457297422,-0.5738909512167727
2013-06-01,-0.92,-43.7,0.2620303494677182,-1.1528167590706497,-0.44539320480146577
2013-07-01,-0.93,-43.5,0.23258025255347894,-1.1106973341827702,-0.4390585408146456
2013-08-01,-0.95,-42.7,0.17368005872500072,-0.9422196346312548,-0.38426978795312705
2013-09-01,-0.96,-45.6,0.14422996181076145,-1.5529512955055,-0.7043606668473693
2013-10-01,-0.99,-41.7,0.05587967106804363,-0.7316225101918599,-0.33787141956190814
2013-11-01,-1.01,-42.9,-0.0030205227604349146,-0.9843390595191329,-0.49367979113978394
2013-12-01,-1.03,-41.6,-0.06192071658891346,-0.7105627977479201,-0.3862417571684168
2014-01-01,-1.04,-40.3,-0.09137081350315274,-0.43678653597670575,-0.26407867473992924
2014-02-01,-1.06,-38.6,-0.1502710073316313,-0.07877142442973518,-0.11452121588068323
2014-03-01,-1.07,-37.2,-0.17972110424587054,0.21606454978541748,0.01817172276977347
2014-04-01,-1.08,-37.4,-0.20917120116010982,0.17394512489753938,-0.017613038131285216
2014-05-01,-1.09,-39.0,-0.2386212980743491,-0.16301027420549288,-0.200815786139921
2014-06-01,-1.09,-40.4,-0.2386212980743491,-0.45784624842064553,-0.3482337732474973
2014-07-01,-1.1,-41.5,-0.2680713949885884,-0.6895030853039803,-0.4787872401462844
2014-08-01,-1.1,-40.7,-0.2680713949885884,-0.5210253857524649,-0.3945483903705267
2014-09-01,-1.1,-40.1,-0.2680713949885884,-0.3946671110888276,-0.331369253038708
2014-10-01,-1.11,-39.3,-0.2975214919028276,-0.22618941153731076,-0.2618554517200692
2014-11-01,-1.12,-38.2,-0.3269715888170669,0.0054674253460225,-0.1607520817355222
2014-12-01,-1.14,-39.0,-0.38587178264554484,-0.16301027420549288,-0.2744410284255189
2015-01-01,-1.15,-39.0,-0.41532187955978406,-0.16301027420549288,-0.28916607688263846
2015-02-01,-1.16,-40.8,-0.44477197647402333,-0.5420850981964032,-0.49342853733521325
2015-03-01,-1.16,-41.3,-0.44477197647402333,-0.6473836604161007,-0.5460778184450621
2015-04-01,-1.16,-41.9,-0.44477197647402333,-0.773741935079738,-0.6092569557768807
2015-05-01,-1.18,-41.4,-0.5036721703025019,-0.6684433728600405,-0.5860577715812711
2015-06-01,-1.19,-41.6,-0.5331222672167412,-0.7105627977479201,-0.6218425324823307
2015-07-01,-1.2,-41.0,-0.5625723641309804,-0.5842045230842828,-0.5733884436076316
2015-08-01,-1.22,-41.7,-0.621472557959459,-0.7316225101918599,-0.6765475340756595
2015-09-01,-1.23,-40.9,-0.6509226548736983,-0.563144810640343,-0.6070337327570207
2015-10-01,-1.24,-41.6,-0.6803727517879375,-0.7105627977479201,-0.6954677747679288
2015-11-01,-1.26,-42.4,-0.7392729456164161,-0.8790404972994355,-0.8091567214579258
2015-12-01,-1.27,-42.3,-0.7687230425306554,-0.8579807848554957,-0.8133519136930756
2016-01-01,-1.29,-42.0,-0.8276232363591339,-0.7948016475236778,-0.8112124419414058
2016-02-01,-1.3,-40.0,-0.8570733332733732,-0.37360739864488784,-0.6153403659591306
2016-03-01,-1.31,-41.2,-0.8865234301876125,-0.6263239479721624,-0.7564236890798874
2016-04-01,-1.33,-41.1,-0.945423624016091,-0.6052642355282226,-0.7753439297721568
2016-05-01,-1.35,-41.0,-1.0043238178445695,-0.5842045230842828,-0.7942641704644262
2016-06-01,-1.36,-41.9,-1.0337739147588088,-0.773741935079738,-0.9037579249192733
2016-07-01,-1.36,-41.6,-1.0337739147588088,-0.7105627977479201,-0.8721683562533644
2016-08-01,-1.38,-42.2,-1.0926741085872866,-0.8369210724115573,-0.9647975904994219
2016-09-01,-1.38,-43.1,-1.0926741085872866,-1.0264584844070126,-1.0595662964971497
2016-10-01,-1.4,-42.4,-1.1515743024157652,-0.8790404972994355,-1.0153073998576003
2016-11-01,-1.41,-40.8,-1.1810243993300045,-0.5420850981964032,-0.8615547487632038
2016-12-01,-1.42,-42.7,-1.2104744962442437,-0.9422196346312548,-1.0763470654377492
2017-01-01,-1.43,-42.8,-1.239924593158483,-0.9632793470751931,-1.101601970116838
2017-02-01,-1.45,-42.9,-1.2988247869869616,-0.9843390595191329,-1.1415819232530473
2017-03-01,-1.45,-43.8,-1.2988247869869616,-1.1738764715145882,-1.2363506292507749
2017-04-01,-1.48,-43.5,-1.3871750777296794,-1.1106973341827702,-1.2489362059562248
