date,unemployment,employment_decline,crime,unemployment_z,employment_decline_z,crime_z,STI
2006-02-01,4.12,-0.7,17.183333333333334,0.3475211526783482,0.017890766206067343,0.8801498669230757,0.4151872619358304
2006-03-01,4.14,-0.8,17.039166666666667,0.3671796785845476,-0.0718516255695287,0.8550542013570783,0.38346075145736574
2006-04-01,4.11,-0.9,16.895000000000003,0.33769188972524855,-0.16159401734512466,0.8299585357910814,0.33535213605706843
2006-05-01,4.08,-0.8,16.750833333333336,0.3082041008659487,-0.0718516255695287,0.804862870225084,0.3470717818405013
2006-06-01,4.24,-0.9,16.60666666666667,0.4654723081155469,-0.16159401734512466,0.7797672046590864,0.3612151651431696
2006-07-01,4.12,-1.1,16.462500000000002,0.3475211526783482,-0.34107880089631665,0.7546715390930889,0.2537046302917068
2006-08-01,4.1,-1.1,16.318333333333335,0.327862626772148,-0.34107880089631665,0.7295758735270915,0.23878656646764096
2006-09-01,4.1,-1.3,16.174166666666668,0.327862626772148,-0.5205635844475085,0.704480207961094,0.17059308342857782
2006-10-01,4.08,-1.3,16.03,0.3082041008659487,-0.5205635844475085,0.6793845423950965,0.15567501960451222
2006-11-01,4.0,-1.5,15.936666666666667,0.2295699972411496,-0.7000483679987004,0.6631376375199999,0.06421975558748301
2006-12-01,4.0,-1.5,15.843333333333334,0.2295699972411496,-0.7000483679987004,0.6468907326449033,0.058804120629117475
2007-01-01,4.02,-1.7,15.75,0.24922852314734892,-0.8795331515498923,0.6306438277698065,0.00011306645575437368
2007-02-01,4.02,-1.9,15.656666666666668,0.24922852314734892,-1.0590179351010842,0.6143969228947102,-0.06513082968634172
2007-03-01,4.01,-1.9,15.563333333333334,0.23939926019424926,-1.0590179351010842,0.5981500180196135,-0.0738228856290738
2007-04-01,3.84,-2.3,15.47,0.0723017899915514,-1.417987502203468,0.5819031131445169,-0.2545941996891332
2007-05-01,3.78,-2.5,15.376666666666667,0.013326212272952083,-1.5974722857546602,0.5656562082694202,-0.3394966217374293
2007-06-01,3.65,-2.8,15.283333333333333,-0.11445420611734623,-1.8666994610814478,0.5494093033943236,-0.47724812126815674
2007-07-01,3.6,-3.0,15.190000000000001,-0.16360052088284543,-2.04618424463264,0.5331623985192272,-0.5588741223320861
2007-08-01,3.72,-3.1,15.096666666666668,-0.0456493654456468,-2.135926636408236,0.5169154936441306,-0.5548868360699174
2007-09-01,3.93,-3.1,15.003333333333334,0.16076515656945062,-2.135926636408236,0.5006685887690339,-0.49149763035658384
2007-10-01,3.97,-3.4,14.91,0.20008220838185015,-2.405153811735024,0.4844216838939372,-0.5735499731530789
2007-11-01,3.81,-3.8,14.855833333333333,0.042814001132251964,-2.7641233788374078,0.47499267660035427,-0.7487722337016005
2007-12-01,3.74,-3.5,14.801666666666666,-0.025990839539447027,-2.4948962035106197,0.46556366930677134,-0.6851077912477651
2008-01-01,3.92,-3.6,14.7475,0.15093589361635049,-2.584638595286216,0.45613466201318875,-0.6591893465522256
2008-02-01,4.01,-3.6,14.693333333333333,0.23939926019424926,-2.584638595286216,0.4467056547196058,-0.6328445601241203
2008-03-01,3.84,-3.5,14.639166666666666,0.0723017899915514,-2.4948962035106197,0.4372766474260229,-0.6617725886976819
2008-04-01,3.93,-3.5,14.585,0.16076515656945062,-2.4948962035106197,0.42784764013244025,-0.6354278022695762
2008-05-01,3.95,-3.3,14.530833333333334,0.18042368247565038,-2.315411419959428,0.41841863283885733,-0.5721897015483067
2008-06-01,3.99,-3.2,14.476666666666667,0.21974073428804994,-2.225669028183832,0.4089896255452744,-0.5323128894501693
2008-07-01,3.94,-3.1,14.4225,0.17059441952255028,-2.135926636408236,0.3995606182516915,-0.5219238662113314
2008-08-01,4.06,-3.0,14.368333333333332,0.2885455749597485,-2.04618424463264,0.39013161095810855,-0.45583568623826104
2008-09-01,3.97,-3.0,14.314166666666667,0.20008220838185015,-2.04618424463264,0.3807026036645259,-0.48846647752875477
2008-10-01,3.79,-3.0,14.26,0.02315547522605219,-2.04618424463264,0.371273596370943,-0.5505850576785483
2008-11-01,3.99,-2.7,14.1875,0.21974073428804994,-1.7769570693058523,0.3586532327626091,-0.3995210340850644
2008-12-01,4.38,-2.7,14.115,0.6030819894589449,-1.7769570693058523,0.34603286915427517,-0.2759474035642108
2009-01-01,4.27,-2.7,14.0425,0.4949600969748459,-1.7769570693058523,0.3334125055459412,-0.3161948222616884
2009-02-01,4.55,-2.3,13.97,0.7701794596616427,-1.417987502203468,0.3207921419376073,-0.10900530020140602
2009-03-01,4.84,-2.0,13.8975,1.0552280853015392,-1.1487603268766804,0.3081717783292734,0.07154651225137741
2009-04-01,4.95,-1.7,13.825,1.1633499777856382,-0.8795331515498923,0.29555141472093915,0.19312274698556167
2009-05-01,5.11,-1.1,13.7525,1.3206181850352363,-0.34107880089631665,0.2829310511126052,0.420823478417175
2009-06-01,5.24,-1.1,13.68,1.4483986034255347,-0.34107880089631665,0.2703106875042713,0.4592101633444965
2009-07-01,5.5,-0.8,13.6075,1.7039594402061313,-0.0718516255695287,0.2576903238959374,0.62993271284418
2009-08-01,5.4,-0.8,13.535,1.6056668106751328,-0.0718516255695287,0.24506996028760344,0.5929617151310692
2009-09-01,5.37,-0.7,13.4625,1.576179021815833,0.017890766206067343,0.2324495966792695,0.60883979490039
2009-10-01,5.19,-0.3,13.39,1.3992522886600354,0.3768603333084512,0.21982923307093558,0.6653139516798073
2009-11-01,5.23,-0.3,13.318333333333333,1.4385693404724351,0.3768603333084512,0.20735393111327202,0.6742612016313861
2009-12-01,5.16,-0.2,13.246666666666666,1.3697644998007357,0.4666027250840472,0.19487862915560847,0.6770819513467972
2010-01-01,5.04,-0.0,13.175,1.2518133443635369,0.6460875086352391,0.18240332719794525,0.6934347267322404
2010-02-01,5.0,-0.2,13.103333333333333,1.2124962925511373,0.4666027250840472,0.1699280252402817,0.6163423476251554
2010-03-01,5.08,-0.1,13.031666666666666,1.2911303961759366,0.5563451168596432,0.15745272328261814,0.668309412106066
2010-04-01,5.08,-0.0,12.96,1.2911303961759366,0.6460875086352391,0.1449774213249549,0.6940651087120435
2010-05-01,5.12,-0.3,12.888333333333334,1.3304474479883361,0.3768603333084512,0.13250211936729134,0.6132699668880263
2010-06-01,5.17,-0.0,12.816666666666666,1.3795937627538353,0.6460875086352391,0.12002681740962778,0.7152360295995673
2010-07-01,5.03,-0.4,12.745,1.2419840814104373,0.2871179415328552,0.10755151545196423,0.5455511794650856
2010-08-01,5.06,-0.3,12.673333333333332,1.2714718702697363,0.3768603333084512,0.09507621349430068,0.5811361390241627
2010-09-01,5.11,-0.5,12.601666666666667,1.3206181850352363,0.19737554975725924,0.08260091153663743,0.5335315487763777
2010-10-01,5.07,-0.5,12.53,1.2813011332228368,0.19737554975725924,0.07012560957897387,0.5162674308530234
2010-11-01,5.03,-0.5,12.465833333333332,1.2419840814104373,0.19737554975725924,0.058955862477344925,0.49943849788168043
2010-12-01,4.87,-0.6,12.401666666666666,1.0847158741608391,0.1076331579816633,0.04778611537571597,0.41337838250607284
2011-01-01,4.83,-0.7,12.337499999999999,1.0453988223484396,0.017890766206067343,0.03661636827408701,0.36663531894286466
2011-02-01,4.68,-0.7,12.273333333333333,0.897959878051941,0.017890766206067343,0.02544662117245837,0.31376575514348887
